fico,dt_first_pi,flag_fthb,dt_matr,cd_msa,mi_pct,cnt_units,occpy_sts,cltv,dti,orig_upb,ltv,orig_int_rt,channel,ppmt_pnlty,amrtzn_type,st,prop_type,zipcode,id_loan,loan_purpose,orig_loan_term,cnt_borr,seller_name,servicer_name,flag_sc,id_loan_preharp,ind_afdl,ind_harp,cd_ppty_val_type,flag_int_only
738,202003,N,203502,16984,000,1,P,80,35,196000,80,3.5,R,N,FRM,IL,SF,60000,F20Q10000122,N,180,02,Other sellers,Other servicers,,,9,,1,N
770,202004,N,205003,27980,000,2,I,30,21,186000,30,3.875,R,N,FRM,HI,SF,96700,F20Q10000123,C,360,02,Other sellers,PHH MORTGAGE CORPORATION,,,9,,2,N
757,202003,N,205002,,000,2,P,75,42,83000,75,3.625,R,N,FRM,MN,SF,56500,F20Q10000124,C,360,01,Other sellers,Other servicers,,,9,,2,N
776,202004,N,205003,,000,1,P,80,29,136000,80,3.875,R,N,FRM,MI,SF,49800,F20Q10000125,P,360,01,Other sellers,Other servicers,,,9,,2,N
770,202004,N,205003,27980,000,2,I,35,21,260000,35,3.875,R,N,FRM,HI,SF,96700,F20Q10000126,C,360,02,Other sellers,PHH MORTGAGE CORPORATION,,,9,,2,N
631,202003,N,205002,,000,1,P,60,24,198000,60,4,R,N,FRM,WV,SF,24700,F20Q10000127,C,360,02,Other sellers,Other servicers,,,9,,2,N
720,202003,Y,205002,15540,000,1,P,80,42,84000,80,3.875,R,N,FRM,VT,CO,05400,F20Q10000128,P,360,01,Other sellers,Other servicers,,,9,,2,N
763,202003,N,205002,31540,000,1,P,61,42,113000,61,3.5,R,N,FRM,WI,SF,53500,F20Q10000129,N,360,02,Other sellers,Other servicers,,,9,,1,N
779,202004,N,205003,39100,25,1,P,89,28,248000,89,3.75,R,N,FRM,NY,SF,12500,F20Q10000130,P,360,01,Other sellers,Other servicers,,,9,,2,N
744,202003,N,203502,38860,000,1,P,75,24,231000,75,3.5,R,N,FRM,ME,SF,04000,F20Q10000131,C,180,02,Other sellers,Other servicers,,,9,,2,N
758,202003,N,205002,38900,000,1,P,54,41,223000,54,3.75,R,N,FRM,OR,SF,97000,F20Q10000132,C,360,02,Other sellers,Other servicers,,,9,,2,N
802,202003,N,204002,41740,000,1,P,60,35,254000,60,3.5,R,N,FRM,CA,SF,92100,F20Q10000133,C,240,02,Other sellers,Other servicers,,,9,,2,N
764,202003,N,204903,48140,12,1,P,81,23,401000,81,3.75,R,N,FRM,WI,SF,54400,F20Q10000134,N,349,02,Other sellers,Other servicers,,,9,,2,N
791,202003,N,203502,14454,000,1,P,41,30,151000,41,3.25,R,N,FRM,MA,SF,02100,F20Q10000135,C,180,01,Other sellers,Other servicers,,,9,,2,N
698,202004,N,204003,11540,000,1,P,79,23,177000,79,4.25,R,N,FRM,WI,MH,54100,F20Q10000136,N,240,02,Other sellers,Other servicers,,,9,,2,N
756,202003,N,204002,38860,000,1,P,43,25,105000,43,3.375,R,N,FRM,ME,SF,04000,F20Q10000137,C,240,01,Other sellers,Other servicers,,,9,,2,N
636,202003,N,205002,37900,000,1,P,52,33,60000,52,4,R,N,FRM,IL,SF,61500,F20Q10000138,C,360,01,Other sellers,Other servicers,,,9,,2,N
694,202003,Y,203502,39300,000,1,P,71,34,305000,71,3.125,R,N,FRM,RI,SF,02800,F20Q10000139,P,180,02,Other sellers,Other servicers,,,9,,2,N
763,202003,N,205002,,000,1,P,53,24,63000,53,4.25,R,N,FRM,IL,SF,61400,F20Q10000140,C,360,01,Other sellers,Other servicers,,,9,,2,N
636,202003,N,203502,,000,1,P,63,27,80000,63,3.5,R,N,FRM,OH,SF,45600,F20Q10000141,N,180,02,Other sellers,Other servicers,,,9,,2,N
782,202102,N,205008,45780,000,1,P,75,32,409000,75,2.875,R,N,FRM,OH,PU,43400,F20Q10000142,N,355,02,Other sellers,"JPMORGAN CHASE BANK, NATIONAL ASSOCIATION",,,9,,2,N
738,202003,N,204002,38900,000,1,P,44,40,198000,44,4,R,N,FRM,OR,MH,97000,F20Q10000143,C,240,01,Other sellers,Other servicers,,,9,,2,N
708,202003,N,205002,38900,000,1,P,48,43,200000,48,4,R,N,FRM,OR,SF,97200,F20Q10000144,C,360,02,Other sellers,Other servicers,,,9,,2,N
769,202005,N,205004,,000,1,S,67,44,484000,67,3.5,R,N,FRM,CO,SF,81200,F20Q10000145,N,360,01,Other sellers,PHH MORTGAGE CORPORATION,,,9,,2,N
787,202003,N,203502,30340,000,1,P,17,8,86000,17,3.125,R,N,FRM,ME,SF,04200,F20Q10000146,N,180,02,Other sellers,Other servicers,,,9,,2,N
713,202004,N,205003,16984,000,1,P,80,44,452000,80,4,R,N,FRM,IL,PU,60400,F20Q10000147,N,360,02,Other sellers,Other servicers,,,9,,2,N
677,202003,N,205002,41180,000,1,I,75,41,154000,75,5.875,R,N,FRM,MO,SF,63300,F20Q10000148,C,360,02,Other sellers,NATIONSTAR MORTGAGE LLC DBA MR. COOPER,,,9,,2,N
729,202003,Y,205002,,25,1,P,90,41,423000,90,3.5,R,N,FRM,ND,SF,58800,F20Q10000149,P,360,02,Other sellers,Other servicers,,,9,,2,N
812,202003,Y,205002,,000,1,P,80,32,132000,80,3.625,R,N,FRM,ND,SF,58800,F20Q10000150,P,360,01,Other sellers,Other servicers,,,9,,2,N
720,202003,N,205002,38900,000,1,P,69,44,298000,69,3.875,R,N,FRM,OR,SF,97200,F20Q10000151,N,360,02,Other sellers,Other servicers,,,9,,1,N
709,202003,Y,205002,39300,000,1,P,67,36,150000,67,3.875,R,N,FRM,RI,SF,02800,F20Q10000152,P,360,01,Other sellers,Other servicers,,,9,,2,N
